Ticker,Sector,LastClose,PreviousClose,Volume,LastPrice,ChangePct,LastUpdated,PriceSource,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,RSI_14,ATR_14,ATRPct_14,MACD_Hist,Z_20,Return_20,Return_60,ADV_20,Hi_252,Lo_252,PctFromHi_252,PctToLo_252
GMD,Công nghiệp,65.4,66.5,425100.0,65.3,-1.8045112781954975,2025-10-28 10:21:00,intraday,66.91499999999999,67.574,58.840525,67.09063028153206,66.24011130675314,44.33080039808352,2.3181762847748697,3.544612056230687,-0.21206380687226767,-1.1999746162968759,-3.6818851251840923,16.785714285714292,2144810.0,74.5,40.841,-12.214765100671132,60.1331994809138
GVR,Nguyên vật liệu,27.25,27.4,266800.0,27.25,-0.5474452554744436,2025-10-28 10:21:00,intraday,27.139999999999997,28.416999999999998,29.2535,27.19563410423712,28.100908339960352,48.414526880831936,0.9112888492915694,3.3441792634553007,0.081031486560325,0.13014622066510487,-1.6245487364620947,-8.249158249158251,2225720.0,35.6,21.7,-23.45505617977528,25.576036866359452
HAG,Hàng tiêu dùng thiết yếu,15.55,15.6,3075900.0,15.5,-0.6410256410256387,2025-10-28 10:21:00,intraday,16.27,16.148,13.75855,15.959123491158836,15.82826596194611,43.13546871940951,0.6149093988358296,3.954401278687007,-0.12729962681651338,-1.1250289125041153,-4.601226993865026,11.870503597122294,12286835.0,17.5,9.54,-11.142857142857142,62.99790356394133
HCM,Tài chính,23.75,23.95,3539200.0,23.8,-0.6263048016701411,2025-10-28 10:21:00,intraday,26.067500000000003,26.921999999999997,23.858575000000002,25.623293583004454,26.15115931429362,30.533535347697438,0.8626872848640937,3.6323675152172363,-0.2861286414795119,-1.6742018758785207,-11.048689138576773,-8.653846153846157,10199275.0,30.4,17.84,-21.875,33.12780269058295
HDB,Tài chính,31.4,31.1,5204200.0,31.5,1.2861736334405016,2025-10-28 10:21:00,intraday,31.865000000000002,31.622999999999998,25.151999999999997,31.83306561864049,30.857346833795233,48.47934258685259,1.173546979809813,3.73741076372552,-0.11553602809377356,-0.4922372238991575,1.2903225806451646,16.296296296296298,18149500.0,34.25,18.0,-8.321167883211677,74.44444444444444
HDC,Bất động sản,33.4,33.05,1867500.0,33.5,1.3615733736762614,2025-10-28 10:21:00,intraday,36.730000000000004,36.058,28.53,36.41957541201782,35.59981510251133,39.687938048318486,1.7272039008818652,5.171269164316962,-0.6913493240863349,-1.2137655136940797,-8.115543328748288,-6.573426573426577,5924180.0,42.3,20.7,-21.040189125295505,61.352657004830924
HDG,Công nghiệp,30.0,30.2,941800.0,30.1,-0.3311258278145601,2025-10-28 10:21:00,intraday,32.325,31.963,26.446455,32.048500789868456,31.381940570850276,41.43776573670048,1.512334122530998,5.041113741769994,-0.44785435417318264,-1.367927349471455,-7.120743034055721,14.942528735632177,4726825.0,36.4,17.909,-17.582417582417577,67.51354067787148
HHV,Công nghiệp,14.4,14.45,1346700.0,14.4,-0.34602076124566894,2025-10-28 10:21:00,intraday,15.242499999999998,15.262,12.804265000000001,15.067185141103646,14.915101122105144,38.91800019359077,0.6184171040015634,4.294563222233079,-0.1558961098469396,-1.5642880551847471,-11.65644171779141,12.5,10496915.0,17.35,9.257,-17.00288184438041,55.55795614129848
HPG,Nguyên vật liệu,26.4,26.25,8041300.0,26.45,0.7619047619047636,2025-10-28 10:21:00,intraday,27.847500000000004,28.189,24.168989999999997,27.50597104861505,27.61796634643067,37.69144823753569,0.7687508679655097,2.9119351059299614,-0.23396359887680934,-1.244297636441183,-6.216696269982236,4.97017892644136,49518810.0,30.85,17.749,-14.424635332252844,48.7407741281199
HSG,Nguyên vật liệu,16.7,16.6,605800.0,16.7,0.6024096385542022,2025-10-28 10:21:00,intraday,17.900000000000002,18.782,17.300359999999998,17.681682809176607,18.284849726848364,33.074586393671794,0.5964513153419038,3.57156476252637,-0.16362852503572067,-1.1911000007650558,-12.105263157894742,-9.72972972972973,5461390.0,21.2,12.4,-21.22641509433962,34.677419354838705
